学生区,教学办公区,教工区
85.2825907894737,21.320647697368425,106.60323848684212
86.61969473684195,21.654923684210488,108.27461842105244
81.27309078947367,20.318272697368418,101.59136348684208
65.95606184210521,16.489015460526304,82.44507730263152
77.14280131578947,19.285700328947367,96.42850164473683
79.74190657894722,19.935476644736806,99.67738322368402
88.33909736842101,22.084774342105252,110.42387171052627
81.63020131578932,20.40755032894733,102.03775164473666
76.34431184210526,19.086077960526314,95.43038980263157
65.62548947368415,16.40637236842104,82.0318618421052
77.98228815789463,19.495572039473657,97.47786019736829
78.20269342105263,19.550673355263157,97.75336677631579
74.18971184210514,18.547427960526285,92.73713980263142
78.1355842105263,19.533896052631576,97.66948026315788
83.23282894736838,20.808207236842094,104.04103618421047
89.49647368421051,22.37411842105263,111.87059210526314
76.61274868421049,19.153187171052622,95.76593585526311
75.45103815789471,18.86275953947368,94.31379769736839
77.54048289473687,19.385120723684217,96.92560361842109
72.77249605263154,18.193124013157885,90.96562006578942
76.21375263157879,19.053438157894696,95.26719078947349
79.63955526315787,19.90988881578947,99.54944407894735
73.9115052631578,18.47787631578945,92.38938157894725
75.52802368421041,18.882005921052603,94.41002960526302
77.26291578947354,19.315728947368385,96.57864473684192
88.5663592105262,22.14158980263155,110.70794901315774
94.7550434210526,23.68876085526315,118.44380427631575
80.28908289473671,20.072270723684177,100.36135361842088
83.90178947368406,20.975447368421015,104.87723684210508
90.72451184210519,22.681127960526297,113.40563980263148
87.07993815789456,21.76998453947364,108.8499226973682
75.58223684210519,18.895559210526297,94.47779605263148
70.27410789473672,17.56852697368418,87.8426348684209
70.70614342105262,17.676535855263154,88.38267927631577
72.97890394736827,18.244725986842067,91.22362993421032
68.0642289473684,17.0160572368421,85.08028618421051
66.42266447368404,16.60566611842101,83.02833059210505
84.20752894736837,21.051882236842093,105.25941118421048
88.38030789473675,22.095076973684186,110.47538486842093
72.95559868421044,18.23889967105261,91.19449835526305
65.4295618421051,16.357390460526275,81.78695230263138
72.66883026315786,18.167207565789464,90.83603782894733
77.58968684210525,19.397421710526313,96.98710855263155
71.05611315789463,17.764028289473657,88.82014144736829
65.7828,16.4457,82.2285
70.34835789473685,17.587089473684212,87.93544736842105
68.17155394736844,17.04288848684211,85.21444243421055
64.39841052631579,16.099602631578946,80.49801315789473
78.44153684210524,19.61038421052631,98.05192105263154
70.05011447368418,17.512528618421044,87.56264309210522
68.66249210526301,17.165623026315753,85.82811513157876
79.68009078947371,19.920022697368427,99.60011348684213
79.95776447368412,19.98944111842103,99.94720559210515
76.44566842105259,19.111417105263147,95.55708552631575
65.2578276315788,16.3144569078947,81.57228453947351
75.91724999999984,18.97931249999996,94.89656249999979
78.32739078947367,19.581847697368417,97.90923848684209
73.13859473684205,18.284648684210513,91.42324342105258
73.11791842105248,18.27947960526312,91.3973980263156
