ans_load1,ans_load2,ans_load3,ans_ele,ans_gas,ans_planning
0,0,0,138.1988994,116.2446295,0
0,0,0,131.8306258,118.0744685,0
0,0,0,126.5287235,120.0941863,0
0,0,0,93.23622995,122.3194425,100
0,0,0,84.17456743,123.7892503,630
0,0,0,62.15789195,125.3019235,20
0,0,0,41.1457078,126.6397697,40
0,0,0,0,225.5191137,200
0,0,0,0,204.992322,400
0,0,0,0,164.1070464,0
0,0,0,0,144.5032056,0
0,0,0,0,86.98760511,0
0,0,0,0,92.48651317,0
0,0,0,0,90.4406066,500
0,0,0,0,100.0204482,500
0,0,0,0,161.447042,142
0,0,0,0,184.7250445,29
0,0,0,22.7139667,209.8336309,132
0,0,0,33.40506244,208.7162304,0
0,0,0,28.84213063,223.446858,0
0,0,0,0,227.1329915,0
0,0,0,0,167.3680951,0
0,0,0,0,211.9769172,0
0,0,0,72.92115029,112.2139352,0
0,0,0,64.8968286,115.5878601,0
0,0,0,47.94270584,117.84509,0
0,0,0,69.70611917,120.0986271,0
0,0,0,60.129888,122.2864872,0
0,0,0,16.92750716,124.3344391,0
0,0,0,8.187025647,126.0568577,0
0,0,0,10.07839498,127.3031302,0
0,0,0,0,171.8159985,0
0,0,0,0,185.6787693,0
0,0,0,0,140.5605311,0
0,0,0,0,85.26807399,0
0,0,0,0,57.64767986,0
0,0,0,0,41.60461915,0
0,0,0,0,41.19017303,0
0,0,0,0,50.3940756,0
0,0,0,0,101.7463616,0
0,0,0,0,155.6548228,0
0,0,0,40.66671775,201.7454505,0
0,0,0,39.05995719,209.3280831,0
0,0,0,52.8859708,201.2103461,0
0,0,0,0,234.8069437,0
0,0,0,0,251.4022226,0
0,0,0,0,248.117237,0
0,0,0,82.93455135,113.9732825,0
0,0,0,74.39787159,116.9483778,0
0,0,0,121.1541633,119.3108778,0
0,0,0,92.88295875,121.6880557,0
0,0,0,88.9114149,123.6314387,0
0,0,0,82.49087165,123.8423061,0
0,0,0,69.86020762,121.8271693,0
0,0,0,86.88627558,120.8111634,0
0,0,0,20.67831396,215.9142826,0
0,0,0,17.05596532,219.3695202,0
0,0,0,10.96045321,227.6684467,0
0,0,0,12.68323556,205.8647465,0
0,0,0,22.69176406,187.7621766,0
0,0,0,9.030387029,176.1697886,0
0,0,0,42.74089629,158.1486108,0
0,0,0,21.25699167,151.6896629,0
0,0,0,22.45379538,160.2448789,0
0,0,0,60.003209,180.4639032,0
0,0,0,89.01590511,196.3245373,0
0,0,0,73.29616388,207.6828265,0
0,0,0,103.105612,203.8901563,0
0,0,0,46.09794059,247.9948563,0
0,0,0,49.38640664,250.2870516,0
0,0,0,37.33071904,251.9799273,0
0,0,0,131.7905534,106.9382774,0
